frame_number,frame_time,frame_len,eth_src,eth_dst,eth_type,ip_version,ip_src,ip_dst,ip_hl,ip_len,ip_proto,ip_ttl,tcp_srcport,tcp_dstport,tcp_seq,tcp_ack,tcp_len,tcp_flags
552,"Feb  9, 2024 16:20:36.347793000 Central Standard Time",97,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,83,6,244,443,40142,3690,1447,31,0x0018
553,"Feb  9, 2024 16:20:36.446878000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,52,6,64,42674,443,3076,3252,0,0x0010
554,"Feb  9, 2024 16:20:36.447055000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,52,6,64,42674,443,3076,3279,0,0x0010
555,"Feb  9, 2024 16:20:36.448211000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,40,6,64,40142,443,1447,0,0,0x0004
556,"Feb  9, 2024 16:20:36.494087000 Central Standard Time",713,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,699,6,64,42674,443,3076,3279,647,0x0018
557,"Feb  9, 2024 16:20:36.504531000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,52,6,120,443,42674,3279,3723,0,0x0010
558,"Feb  9, 2024 16:20:36.521890000 Central Standard Time",686,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,672,6,120,443,42674,3279,3723,620,0x0018
559,"Feb  9, 2024 16:20:36.523066000 Central Standard Time",93,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,79,6,120,443,42674,3899,3723,27,0x0018
560,"Feb  9, 2024 16:20:36.708570000 Central Standard Time",93,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,79,6,120,443,42674,3899,3723,27,0x0018
561,"Feb  9, 2024 16:20:36.786432000 Central Standard Time",713,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,699,6,64,42674,443,3076,3279,647,0x0018
562,"Feb  9, 2024 16:20:36.792451000 Central Standard Time",78,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,64,6,120,443,42674,3926,3723,0,0x0010
563,"Feb  9, 2024 16:20:36.840366000 Central Standard Time",97,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,3.93.209.69,10.0.5.220,20,83,6,241,443,39195,4135,1703,31,0x0018
564,"Feb  9, 2024 16:20:36.840392000 Central Standard Time",97,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,3.93.209.69,10.0.5.220,20,83,6,241,443,39199,3853,1167,31,0x0018
565,"Feb  9, 2024 16:20:36.840582000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,3.93.209.69,10.0.5.220,20,52,6,241,443,39195,4166,1703,0,0x0011
566,"Feb  9, 2024 16:20:36.840605000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,3.93.209.69,10.0.5.220,20,52,6,241,443,39199,3884,1167,0,0x0011
567,"Feb  9, 2024 16:20:36.876707000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,40,6,64,39195,443,1703,0,0,0x0004
568,"Feb  9, 2024 16:20:36.876945000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,40,6,64,39199,443,1167,0,0,0x0004
569,"Feb  9, 2024 16:20:36.877114000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,40,6,64,39195,443,1703,0,0,0x0004
570,"Feb  9, 2024 16:20:36.878769000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,40,6,64,39199,443,1167,0,0,0x0004
571,"Feb  9, 2024 16:20:37.011555000 Central Standard Time",713,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,699,6,64,42674,443,3076,3279,647,0x0018
572,"Feb  9, 2024 16:20:37.018641000 Central Standard Time",78,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,64,6,56,443,42674,3926,3723,0,0x0010
573,"Feb  9, 2024 16:20:37.068725000 Central Standard Time",713,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,699,6,120,443,42674,3279,3723,647,0x0018
574,"Feb  9, 2024 16:20:37.145322000 Central Standard Time",97,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.72.179.74,10.0.5.220,20,83,6,244,443,43360,4063,1697,31,0x0018
575,"Feb  9, 2024 16:20:37.145498000 Central Standard Time",97,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.72.179.74,10.0.5.220,20,83,6,244,443,43364,5251,2473,31,0x0018
576,"Feb  9, 2024 16:20:37.145518000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.72.179.74,10.0.5.220,20,52,6,244,443,43360,4094,1697,0,0x0011
577,"Feb  9, 2024 16:20:37.145643000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.72.179.74,10.0.5.220,20,52,6,244,443,43364,5282,2473,0,0x0011
578,"Feb  9, 2024 16:20:37.153544000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,40,6,64,43360,443,1697,0,0,0x0004
579,"Feb  9, 2024 16:20:37.155456000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,40,6,64,43364,443,2473,0,0,0x0004
580,"Feb  9, 2024 16:20:37.156541000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,40,6,64,43360,443,1697,0,0,0x0004
581,"Feb  9, 2024 16:20:37.156708000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,40,6,64,43364,443,2473,0,0,0x0004
582,"Feb  9, 2024 16:20:37.165902000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,52,6,64,42674,443,3723,3899,0,0x0010
583,"Feb  9, 2024 16:20:37.166153000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,52,6,64,42674,443,3723,3926,0,0x0010
584,"Feb  9, 2024 16:20:37.166373000 Central Standard Time",78,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,64,6,64,42674,443,3723,3926,0,0x0010
585,"Feb  9, 2024 16:20:37.166550000 Central Standard Time",78,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,64,6,64,42674,443,3723,3926,0,0x0010
586,"Feb  9, 2024 16:20:37.262299000 Central Standard Time",689,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,675,6,64,42674,443,3723,3926,623,0x0018
587,"Feb  9, 2024 16:20:37.269018000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,52,6,120,443,42674,3926,4346,0,0x0010
588,"Feb  9, 2024 16:20:37.284653000 Central Standard Time",526,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,512,6,120,443,42674,3926,4346,460,0x0018
589,"Feb  9, 2024 16:20:37.284674000 Central Standard Time",317,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,303,6,120,443,42674,4386,4346,251,0x0018
590,"Feb  9, 2024 16:20:37.284965000 Central Standard Time",93,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,142.250.191.238,10.0.5.220,20,79,6,120,443,42674,4637,4346,27,0x0018
591,"Feb  9, 2024 16:20:37.315972000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,52,6,64,42674,443,4346,4386,0,0x0010
592,"Feb  9, 2024 16:20:37.316297000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,52,6,64,42674,443,4346,4637,0,0x0010
593,"Feb  9, 2024 16:20:37.316467000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,142.250.191.238,20,52,6,64,42674,443,4346,4664,0,0x0010
594,"Feb  9, 2024 16:20:37.348317000 Central Standard Time",97,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,83,6,244,443,40144,3741,3480,31,0x0018
595,"Feb  9, 2024 16:20:37.453369000 Central Standard Time",54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,40,6,64,40144,443,3480,0,0,0x0004
596,"Feb  9, 2024 16:20:37.772084000 Central Standard Time",81,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,10.0.5.1,20,67,17,64,,,,,,
597,"Feb  9, 2024 16:20:37.776201000 Central Standard Time",138,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,10.0.5.1,10.0.5.220,20,124,17,64,,,,,,
598,"Feb  9, 2024 16:20:37.784142000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,60,6,64,40194,443,0,0,0,0x0002
599,"Feb  9, 2024 16:20:37.810604000 Central Standard Time",74,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,60,6,241,443,40194,0,1,0,0x0012
600,"Feb  9, 2024 16:20:37.811951000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40194,443,1,1,0,0x0010
601,"Feb  9, 2024 16:20:37.813984000 Central Standard Time",583,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,569,6,64,40194,443,1,1,517,0x0018
602,"Feb  9, 2024 16:20:37.839717000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,52,6,241,443,40194,1,518,0,0x0010
603,"Feb  9, 2024 16:20:37.840643000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,1500,6,241,443,40194,1,518,1448,0x0010
604,"Feb  9, 2024 16:20:37.840658000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,1500,6,241,443,40194,1449,518,1448,0x0010
605,"Feb  9, 2024 16:20:37.840667000 Central Standard Time",593,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,579,6,241,443,40194,2897,518,527,0x0018
606,"Feb  9, 2024 16:20:37.845980000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40194,443,518,1449,0,0x0010
607,"Feb  9, 2024 16:20:37.846222000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40194,443,518,2897,0,0x0010
608,"Feb  9, 2024 16:20:37.846388000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40194,443,518,3424,0,0x0010
609,"Feb  9, 2024 16:20:37.862587000 Central Standard Time",192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,178,6,64,40194,443,518,3424,126,0x0018
610,"Feb  9, 2024 16:20:37.888096000 Central Standard Time",117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,103,6,241,443,40194,3424,644,51,0x0018
611,"Feb  9, 2024 16:20:37.910218000 Central Standard Time",869,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,855,6,64,40194,443,644,3475,803,0x0018
612,"Feb  9, 2024 16:20:37.937745000 Central Standard Time",281,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.4.140.83,10.0.5.220,20,267,6,241,443,40194,3475,1447,215,0x0018
613,"Feb  9, 2024 16:20:37.977529000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.4.140.83,20,52,6,64,40194,443,1447,3690,0,0x0010
614,"Feb  9, 2024 16:20:39.501247000 Central Standard Time",70,36:cd:80:d9:58:3d,33:33:00:00:00:02,0x86dd,,,,,,,,,,,,,
615,"Feb  9, 2024 16:20:39.821130000 Central Standard Time",42,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0806,,,,,,,,,,,,,
616,"Feb  9, 2024 16:20:39.829201000 Central Standard Time",42,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0806,,,,,,,,,,,,,
617,"Feb  9, 2024 16:20:40.085700000 Central Standard Time",58,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x0800,4,10.0.5.220,255.255.255.255,20,44,17,64,,,,,,
618,"Feb  9, 2024 16:20:40.085800000 Central Standard Time",86,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,10.0.5.1,20,72,17,64,,,,,,
619,"Feb  9, 2024 16:20:40.086085000 Central Standard Time",118,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,10.0.5.1,10.0.5.220,20,104,17,64,,,,,,
620,"Feb  9, 2024 16:20:40.087836000 Central Standard Time",71,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x0800,4,10.0.5.220,255.255.255.255,20,57,17,64,,,,,,
621,"Feb  9, 2024 16:20:40.089248000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,60,6,64,47514,443,0,0,0,0x0002
622,"Feb  9, 2024 16:20:40.095194000 Central Standard Time",42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,0x0806,,,,,,,,,,,,,
623,"Feb  9, 2024 16:20:40.097446000 Central Standard Time",42,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0806,,,,,,,,,,,,,
624,"Feb  9, 2024 16:20:40.115824000 Central Standard Time",74,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,60,6,244,443,47514,0,1,0,0x0012
625,"Feb  9, 2024 16:20:40.140803000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,52,6,64,47514,443,1,1,0,0x0010
626,"Feb  9, 2024 16:20:40.144148000 Central Standard Time",583,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,569,6,64,47514,443,1,1,517,0x0018
627,"Feb  9, 2024 16:20:40.169913000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,52,6,244,443,47514,1,518,0,0x0010
628,"Feb  9, 2024 16:20:40.170800000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,1500,6,244,443,47514,1,518,1448,0x0010
629,"Feb  9, 2024 16:20:40.170815000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,1500,6,244,443,47514,1449,518,1448,0x0010
630,"Feb  9, 2024 16:20:40.170824000 Central Standard Time",593,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,579,6,244,443,47514,2897,518,527,0x0018
631,"Feb  9, 2024 16:20:40.183482000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,52,6,64,47514,443,518,1449,0,0x0010
632,"Feb  9, 2024 16:20:40.253514000 Central Standard Time",1124,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,1110,17,255,,,,,,
633,"Feb  9, 2024 16:20:40.254191000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,52,6,64,47514,443,518,2897,0,0x0010
634,"Feb  9, 2024 16:20:40.254424000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,52,6,64,47514,443,518,3424,0,0x0010
635,"Feb  9, 2024 16:20:40.257743000 Central Standard Time",192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,178,6,64,47514,443,518,3424,126,0x0018
636,"Feb  9, 2024 16:20:40.283168000 Central Standard Time",117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,103,6,244,443,47514,3424,644,51,0x0018
637,"Feb  9, 2024 16:20:40.285358000 Central Standard Time",808,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,794,6,64,47514,443,644,3475,742,0x0018
638,"Feb  9, 2024 16:20:40.323018000 Central Standard Time",816,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,802,6,244,443,47514,3475,1386,750,0x0018
639,"Feb  9, 2024 16:20:40.398121000 Central Standard Time",977,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,963,6,64,47514,443,1386,4225,911,0x0018
640,"Feb  9, 2024 16:20:40.400825000 Central Standard Time",58,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x0800,4,10.0.5.220,255.255.255.255,20,44,17,64,,,,,,
641,"Feb  9, 2024 16:20:40.428966000 Central Standard Time",283,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,0x0800,4,52.73.97.167,10.0.5.86,20,269,6,243,443,52433,3733,1694,229,0x0018
642,"Feb  9, 2024 16:20:40.450387000 Central Standard Time",1147,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,0x0800,4,10.0.5.86,52.73.97.167,20,1133,6,255,52433,443,1694,3962,1093,0x0018
643,"Feb  9, 2024 16:20:40.474115000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,52,6,244,443,47514,4225,2297,0,0x0010
644,"Feb  9, 2024 16:20:40.517384000 Central Standard Time",54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,0x0800,4,52.73.97.167,10.0.5.86,20,40,6,243,443,52433,3962,2787,0,0x0010
645,"Feb  9, 2024 16:20:40.538715000 Central Standard Time",379,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,0x0800,4,10.0.5.86,52.73.97.167,20,365,6,255,52433,443,2787,3962,325,0x0018
646,"Feb  9, 2024 16:20:40.563926000 Central Standard Time",54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,0x0800,4,52.73.97.167,10.0.5.86,20,40,6,243,443,52433,3962,3112,0,0x0010
647,"Feb  9, 2024 16:20:40.565510000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,1500,6,244,443,47514,4225,2297,1448,0x0010
648,"Feb  9, 2024 16:20:40.565526000 Central Standard Time",68,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,54,6,244,443,47514,5673,2297,2,0x0018
649,"Feb  9, 2024 16:20:40.570803000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,52,6,64,47514,443,2297,5675,0,0x0010
650,"Feb  9, 2024 16:20:40.736541000 Central Standard Time",42,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,0x0806,,,,,,,,,,,,,
651,"Feb  9, 2024 16:20:40.737920000 Central Standard Time",984,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,970,6,64,47514,443,2297,5675,918,0x0018
652,"Feb  9, 2024 16:20:40.740696000 Central Standard Time",42,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0806,,,,,,,,,,,,,
653,"Feb  9, 2024 16:20:40.742541000 Central Standard Time",74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,60,6,64,38958,9999,0,0,0,0x0002
654,"Feb  9, 2024 16:20:40.744930000 Central Standard Time",58,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,44,6,255,9999,38958,0,1,0,0x0012
655,"Feb  9, 2024 16:20:40.747900000 Central Standard Time",54,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,40,6,64,38958,9999,1,1,0,0x0010
656,"Feb  9, 2024 16:20:40.748741000 Central Standard Time",243,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,229,6,64,38958,9999,1,1,189,0x0018
657,"Feb  9, 2024 16:20:40.764121000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,52,6,244,443,47514,5675,3215,0,0x0010
658,"Feb  9, 2024 16:20:40.772247000 Central Standard Time",278,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.22.73.179,10.0.5.220,20,264,6,244,443,47514,5675,3215,212,0x0018
659,"Feb  9, 2024 16:20:40.832780000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.22.73.179,20,52,6,64,47514,443,3215,5887,0,0x0010
660,"Feb  9, 2024 16:20:40.865521000 Central Standard Time",54,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,40,6,255,9999,38958,1,190,0,0x0010
661,"Feb  9, 2024 16:20:40.942908000 Central Standard Time",90,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,0x0800,4,10.0.5.86,137.184.81.69,20,76,17,255,,,,,,
662,"Feb  9, 2024 16:20:40.947107000 Central Standard Time",126,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,112,6,255,9999,38958,1,190,72,0x0018
663,"Feb  9, 2024 16:20:40.999978000 Central Standard Time",90,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,0x0800,4,137.184.81.69,10.0.5.86,20,76,17,51,,,,,,
664,"Feb  9, 2024 16:20:41.044673000 Central Standard Time",54,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,40,6,64,38958,9999,190,73,0,0x0010
665,"Feb  9, 2024 16:20:41.044883000 Central Standard Time",54,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,40,6,64,38958,9999,190,73,0,0x0011
666,"Feb  9, 2024 16:20:41.044988000 Central Standard Time",74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,60,6,64,38960,9999,0,0,0,0x0002
667,"Feb  9, 2024 16:20:41.048164000 Central Standard Time",54,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,40,6,255,9999,38958,73,191,0,0x0010
668,"Feb  9, 2024 16:20:41.049350000 Central Standard Time",58,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,44,6,255,9999,38960,0,1,0,0x0012
669,"Feb  9, 2024 16:20:41.050688000 Central Standard Time",54,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,40,6,64,38960,9999,1,1,0,0x0010
670,"Feb  9, 2024 16:20:41.051481000 Central Standard Time",214,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,200,6,64,38960,9999,1,1,160,0x0018
671,"Feb  9, 2024 16:20:41.152927000 Central Standard Time",54,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,40,6,255,9999,38960,1,161,0,0x0010
672,"Feb  9, 2024 16:20:41.153957000 Central Standard Time",54,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,40,6,255,9999,38958,73,191,0,0x0011
673,"Feb  9, 2024 16:20:41.283927000 Central Standard Time",54,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,40,6,64,38958,9999,191,74,0,0x0010
674,"Feb  9, 2024 16:20:41.352419000 Central Standard Time",125,6c:5a:b0:e6:03:cd,36:cd:80:d9:58:3d,0x0800,4,10.0.5.86,10.0.5.220,20,111,6,255,9999,38960,1,161,71,0x0018
675,"Feb  9, 2024 16:20:41.776484000 Central Standard Time",54,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,40,6,64,38960,9999,161,72,0,0x0010
676,"Feb  9, 2024 16:20:41.781324000 Central Standard Time",54,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,40,6,64,38960,9999,161,72,0,0x0011
677,"Feb  9, 2024 16:20:41.781535000 Central Standard Time",74,36:cd:80:d9:58:3d,6c:5a:b0:e6:03:cd,0x0800,4,10.0.5.220,10.0.5.86,20,60,6,64,38962,9999,0,0,0,0x0002
