frame_number,frame_time,frame_len,eth_src,eth_dst,eth_type,ip_version,ip_src,ip_dst,ip_hl,ip_len,ip_proto,ip_ttl,tcp_srcport,tcp_dstport,tcp_seq,tcp_ack,tcp_len,tcp_flags
233,"Feb  9, 2024 16:19:44.590308000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,52,6,64,37404,443,1,1,0,0x0010
234,"Feb  9, 2024 16:19:44.592156000 Central Standard Time",583,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,569,6,64,37404,443,1,1,517,0x0018
235,"Feb  9, 2024 16:19:44.615459000 Central Standard Time",66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.54.238.225,10.0.5.220,20,52,6,244,443,37404,1,518,0,0x0010
236,"Feb  9, 2024 16:19:44.616492000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.54.238.225,10.0.5.220,20,1500,6,244,443,37404,1,518,1448,0x0010
237,"Feb  9, 2024 16:19:44.616512000 Central Standard Time",1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.54.238.225,10.0.5.220,20,1500,6,244,443,37404,1449,518,1448,0x0010
238,"Feb  9, 2024 16:19:44.616521000 Central Standard Time",735,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,52.54.238.225,10.0.5.220,20,721,6,244,443,37404,2897,518,669,0x0018
239,"Feb  9, 2024 16:19:44.621962000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,52,6,64,37404,443,518,1449,0,0x0010
240,"Feb  9, 2024 16:19:44.622114000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,52,6,64,37404,443,518,2897,0,0x0010
241,"Feb  9, 2024 16:19:44.622278000 Central Standard Time",66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,52,6,64,37404,443,518,3566,0,0x0010
242,"Feb  9, 2024 16:19:44.653187000 Central Standard Time",192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.54.238.225,20,178,6,64,37404,443,518,3566,126,0x0018
